Location,styleUrl,longitude,latitude,altitude
DOH BEDFORD NISSAN 1,#icon-1619-9C27B0-nodesc,-73.9409313,40.6854895,0
DOH BEDFORD NISSAN 2,#icon-1619-9C27B0-nodesc,-73.9408738,40.6854955,0
DOH BELLEVUE NISSAN 1,#icon-1619-9C27B0-nodesc,-73.9766139,40.7392416,0
DOH BELLEVUE NISSAN 2,#icon-1619-9C27B0-nodesc,-73.9765677,40.7392406,0
DOH 56 DRIVE NISSAN,#icon-1619-9C27B0-nodesc,-73.913819,40.7245299,0
DOT LOT 190 ST L2 x 5,#icon-1619-9C27B0-nodesc,-73.9001169,40.8636218,0
DOT LOT COURT SQ L3 x 4,#icon-1619-673AB7-nodesc,-73.942728,40.7449819,0
DOT LOT COURT SQ L2 x 9,#icon-1619-9C27B0-nodesc,-73.9426664,40.7450023,0
DOT LOT QUEENS BOROUGH HALL L2 X 31,#icon-1619-9C27B0-nodesc,-73.826834,40.7149453,0
DOT LOT QUEENS FAMILY COURT L2 X 3,#icon-1619-9C27B0-nodesc,-73.8040758,40.7016699,0
DOT LOT ST GEORGE L2 x 5,#icon-1619-9C27B0-nodesc,-74.077417,40.6411549,0
DOT LOT ESSEX ST L2 x 9,#icon-1619-9C27B0-nodesc,-73.9880858,40.7192908,0
DOT LOT ESSEX ST L3 x 4,#icon-1619-673AB7-nodesc,-73.988112,40.7192545,0
DOT LOT QUEENS BOROUGH HALL L3 X 3,#icon-1619-673AB7-nodesc,-73.8263847,40.7147441,0
DOT GUN HILL RD LOT L2 x 4,#icon-1619-9C27B0-nodesc,-73.8806112,40.8831022,0
DOT BAY RIDGE LOT L2 x 5,#icon-1619-9C27B0-nodesc,-74.0256483,40.6218413,0
DOT WHITE PLAINS RD L2 x 4,#icon-1619-9C27B0-nodesc,-73.8681626,40.8530755,0
DOT WHITE PLAINS RD L3 x 4,#icon-1619-673AB7-nodesc,-73.8681628,40.8530393,0
